true\pred,background,building,road,water,barren,forest,agricultural
background,313467903,31254175,24834863,13453753,22057397,43083707,167098884
building,15965267,101988590,387390,140839,640212,2013303,1670190
road,13497374,414800,58733111,16178,1747267,3221434,1960336
water,44809675,105123,959146,120567344,5479005,2720253,24927270
barren,7396369,205915,767302,729361,45369149,1052309,18862728
forest,24343686,146928,778227,257812,1878208,63869473,34341313
agricultural,117814134,3026909,2475007,2076410,19131204,10288842,332270196
