image,valid_px,real_px,discarded_px,discard_pct_of_real
2522,1048576,847474,133977,15.81
2523,1048576,386321,305518,79.08
2524,1048576,898517,194911,21.69
2525,1048576,81386,9157,11.25
2526,1048576,211510,211510,100.0
2527,1048576,192982,28066,14.54
2528,1048576,1022973,1022973,100.0
2529,1048576,184714,2044,1.11
2530,1048576,690354,5254,0.76
2531,1048576,183629,183618,99.99
2532,1048576,391536,12585,3.21
2533,1048576,898681,898681,100.0
2534,1048576,1012447,47824,4.72
2535,932490,860584,30479,3.54
2536,1048576,380255,9888,2.6
2537,1048576,900790,41769,4.64
2538,1048576,157068,157068,100.0
2539,1048576,373187,13837,3.71
2540,1048576,116149,2093,1.8
2541,1048576,1036855,1036855,100.0
2542,1048576,231434,103784,44.84
2543,1048576,833909,833909,100.0
2544,1048576,988364,35280,3.57
2545,1048576,682237,668158,97.94
2546,844317,789076,1464,0.19
2547,1048576,81321,73569,90.47
2548,1047970,654382,445820,68.13
2549,1048576,527276,527276,100.0
2550,1048576,927849,93760,10.11
2551,1048576,753357,739448,98.15
2552,1048576,404131,374577,92.69
2553,1048576,884371,705251,79.75
2554,1048576,936022,936022,100.0
2555,1048576,428707,421889,98.41
2556,1048576,350404,7255,2.07
2557,1048576,157372,6629,4.21
2558,1048576,1013579,13973,1.38
2559,1048576,470742,671,0.14
2560,1048576,584976,100089,17.11
2561,1048576,1004019,2260,0.23
2562,1048576,63151,63151,100.0
2563,814925,715886,7291,1.02
2564,1048576,734475,4169,0.57
2565,1048576,480330,480330,100.0
2566,1048576,738805,738805,100.0
2567,844124,807183,36439,4.51
2568,1048576,1035449,4411,0.43
2569,1048576,631532,90747,14.37
2570,1048576,695052,676521,97.33
2571,667786,451760,176506,39.07
2572,1048576,502075,434464,86.53
2573,664468,531882,170215,32.0
2574,1048576,524723,349893,66.68
2575,1048576,964333,7777,0.81
2576,1048576,838263,61990,7.4
2577,723219,564864,28547,5.05
2578,1048576,90591,90591,100.0
2579,1048576,523437,413185,78.94
2580,1048576,344597,1090,0.32
2581,1048576,397490,401,0.1
2582,1020642,852033,541,0.06
2583,1048576,261635,226853,86.71
2584,1048576,682723,625500,91.62
2585,1048576,988651,72551,7.34
2586,1048576,895370,38442,4.29
2587,1048576,751131,751131,100.0
2588,1048576,355566,28564,8.03
2589,1048576,433117,4389,1.01
2590,1048451,414140,53476,12.91
2591,1048576,794410,64524,8.12
2592,1048576,423273,25039,5.92
2593,1048576,710904,9538,1.34
2594,1048576,413582,28877,6.98
2595,1048576,953020,23400,2.46
2596,1048576,533663,533663,100.0
2597,1048576,1008030,10289,1.02
2598,607371,566701,50969,8.99
2599,1048576,971548,98796,10.17
2600,1048576,962521,16876,1.75
2601,1048576,565393,229064,40.51
2602,1048576,170430,3983,2.34
2603,1048576,321832,633,0.2
2604,1048576,870567,93638,10.76
2605,1048576,239175,237010,99.09
2606,1048576,68542,22671,33.08
2607,1048576,192345,1400,0.73
2608,1048576,737041,621504,84.32
2609,1048576,404960,8477,2.09
2610,1048576,317796,317796,100.0
2611,1048576,1037785,167,0.02
2612,1048576,136447,66648,48.85
2613,1048576,385684,385684,100.0
2614,1048576,557338,557338,100.0
2615,726560,715653,305,0.04
2616,1046137,646328,57464,8.89
2617,486890,394457,242,0.06
2618,1048576,163379,112849,69.07
2619,1048576,268679,13411,4.99
2620,1048576,198537,92216,46.45
