class,gt_pixels,lost_to_background,pct_lost
agricultural,487082702,117814134,24.19
water,199567816,44809675,22.45
forest,125615647,24343686,19.38
road,79590500,13497374,16.96
building,122805791,15965267,13.0
barren,74383133,7396369,9.94
