tile,baseline,ours,delta,changed_pct,fixed,broke,newly_discarded,all_discarded
tenniscourt56,39.09,38.2,-0.89,15.14,1011,1911,4166,0
tenniscourt57,20.71,27.06,6.35,35.97,10735,64,1346,0
tenniscourt58,29.6,37.15,7.55,17.45,7542,323,1972,0
tenniscourt59,39.66,45.08,5.43,19.96,7448,1372,1316,0
tenniscourt60,29.95,43.68,13.74,24.04,7724,774,5948,0
tenniscourt61,25.1,28.91,3.81,41.14,11017,4221,7702,0
tenniscourt62,38.29,38.9,0.62,9.65,1826,624,2703,0
tenniscourt63,19.45,22.84,3.39,34.13,9821,263,5524,0
tenniscourt64,33.89,33.03,-0.86,15.01,651,1026,6299,0
tenniscourt65,40.78,40.41,-0.37,4.93,882,325,807,0
tenniscourt66,32.12,39.16,7.03,9.38,3723,618,992,0
tenniscourt67,40.61,44.5,3.89,27.98,9578,2630,4538,0
tenniscourt68,36.54,28.0,-8.54,35.71,1437,17882,5517,0
tenniscourt69,41.91,39.99,-1.92,11.13,1197,1156,1810,0
tenniscourt70,38.3,38.66,0.36,8.78,1524,967,2739,0
tenniscourt71,22.04,31.47,9.43,36.93,7154,6344,14794,0
tenniscourt72,21.49,30.79,9.3,22.79,8911,2165,3870,0
tenniscourt73,30.39,29.58,-0.81,13.74,1199,1801,3473,0
tenniscourt74,36.64,36.78,0.15,11.24,2314,434,2141,0
tenniscourt75,20.9,30.22,9.33,26.08,8197,1117,2237,0
tenniscourt76,36.39,39.76,3.37,23.42,5114,4811,6251,0
tenniscourt77,25.92,37.19,11.27,20.6,6703,637,2476,0
tenniscourt78,38.99,39.53,0.54,9.09,466,465,4342,0
tenniscourt79,27.55,29.13,1.58,19.53,2941,624,3535,0
tenniscourt80,55.86,57.27,1.41,4.55,2020,69,664,0
tenniscourt81,41.58,64.6,23.02,34.5,21513,173,603,0
tenniscourt82,49.02,48.65,-0.37,5.87,570,929,1913,0
tenniscourt83,39.26,41.99,2.74,11.84,2917,489,628,0
tenniscourt84,15.02,35.17,20.15,49.3,27261,267,4824,0
tenniscourt85,40.78,44.76,3.98,10.5,4692,228,1356,0
tenniscourt86,29.04,28.7,-0.34,8.24,573,522,2604,0
tenniscourt87,36.01,36.81,0.8,5.35,1516,142,1581,0
tenniscourt88,28.21,30.44,2.23,38.15,6571,55,3905,0
tenniscourt89,34.04,47.72,13.68,44.12,22305,69,1774,0
tenniscourt90,17.01,25.55,8.54,50.34,16808,586,1139,0
tenniscourt91,23.83,36.73,12.9,51.82,20334,321,1834,0
tenniscourt92,18.96,32.23,13.27,39.6,21135,1568,1771,0
tenniscourt93,38.39,39.72,1.33,30.58,3286,475,4366,0
tenniscourt94,40.41,44.17,3.76,38.2,9036,133,3407,0
tenniscourt95,27.88,33.11,5.23,41.33,10627,200,208,0
tenniscourt96,33.16,33.21,0.05,9.2,743,272,3489,0
tenniscourt97,41.87,40.39,-1.48,32.84,596,837,2969,0
tenniscourt98,40.11,43.72,3.61,7.06,750,924,3294,0
tenniscourt99,40.63,42.16,1.54,20.84,7731,1027,2167,0
