class,gt_pixels,lost_to_background,pct_lost
forest,125615647,43462196,34.6
water,199567816,64309668,32.22
agricultural,487082702,155414274,31.91
barren,74383133,18578671,24.98
road,79590500,18432732,23.16
building,122805791,22987367,18.72
