image,valid_px,real_px,discarded_px,discard_pct_of_real
2522,1048576,847474,220081,25.97
2523,1048576,386321,386321,100.0
2524,1048576,898517,199160,22.17
2525,1048576,81386,9503,11.68
2526,1048576,211510,211510,100.0
2527,1048576,192982,97516,50.53
2528,1048576,1022973,1022973,100.0
2529,1048576,184714,141271,76.48
2530,1048576,690354,690354,100.0
2531,1048576,183629,183625,100.0
2532,1048576,391536,267376,68.29
2533,1048576,898681,898681,100.0
2534,1048576,1012447,129771,12.82
2535,932490,860584,128684,14.95
2536,1048576,380255,178541,46.95
2537,1048576,900790,101561,11.27
2538,1048576,157068,157068,100.0
2539,1048576,373187,265836,71.23
2540,1048576,116149,4584,3.95
2541,1048576,1036855,1036855,100.0
2542,1048576,231434,231434,100.0
2543,1048576,833909,833909,100.0
2544,1048576,988364,74503,7.54
2545,1048576,682237,673572,98.73
2546,844317,789076,114776,14.55
2547,1048576,81321,73670,90.59
2548,1047970,654382,597068,91.24
2549,1048576,527276,527276,100.0
2550,1048576,927849,163741,17.65
2551,1048576,753357,739460,98.16
2552,1048576,404131,404131,100.0
2553,1048576,884371,706551,79.89
2554,1048576,936022,936022,100.0
2555,1048576,428707,421984,98.43
2556,1048576,350404,17704,5.05
2557,1048576,157372,27213,17.29
2558,1048576,1013579,120991,11.94
2559,1048576,470742,56481,12.0
2560,1048576,584976,106838,18.26
2561,1048576,1004019,15481,1.54
2562,1048576,63151,63151,100.0
2563,814925,715886,13922,1.94
2564,1048576,734475,13926,1.9
2565,1048576,480330,480330,100.0
2566,1048576,738805,738805,100.0
2567,844124,807183,103018,12.76
2568,1048576,1035449,51775,5.0
2569,1048576,631532,173624,27.49
2570,1048576,695052,695052,100.0
2571,667786,451760,188551,41.74
2572,1048576,502075,478740,95.35
2573,664468,531882,202476,38.07
2574,1048576,524723,524723,100.0
2575,1048576,964333,35991,3.73
2576,1048576,838263,122064,14.56
2577,723219,564864,48713,8.62
2578,1048576,90591,90591,100.0
2579,1048576,523437,418534,79.96
2580,1048576,344597,37887,10.99
2581,1048576,397490,1958,0.49
2582,1020642,852033,10949,1.29
2583,1048576,261635,228675,87.4
2584,1048576,682723,682723,100.0
2585,1048576,988651,149150,15.09
2586,1048576,895370,76787,8.58
2587,1048576,751131,751131,100.0
2588,1048576,355566,41573,11.69
2589,1048576,433117,397804,91.85
2590,1048451,414140,58036,14.01
2591,1048576,794410,104051,13.1
2592,1048576,423273,65806,15.55
2593,1048576,710904,19517,2.75
2594,1048576,413582,43692,10.56
2595,1048576,953020,83094,8.72
2596,1048576,533663,533663,100.0
2597,1048576,1008030,58482,5.8
2598,607371,566701,89140,15.73
2599,1048576,971548,125753,12.94
2600,1048576,962521,46980,4.88
2601,1048576,565393,560559,99.15
2602,1048576,170430,36589,21.47
2603,1048576,321832,46708,14.51
2604,1048576,870567,216086,24.82
2605,1048576,239175,237744,99.4
2606,1048576,68542,22818,33.29
2607,1048576,192345,151809,78.93
2608,1048576,737041,737041,100.0
2609,1048576,404960,74109,18.3
2610,1048576,317796,317796,100.0
2611,1048576,1037785,2686,0.26
2612,1048576,136447,88686,65.0
2613,1048576,385684,385684,100.0
2614,1048576,557338,557338,100.0
2615,726560,715653,32635,4.56
2616,1046137,646328,208174,32.21
2617,486890,394457,1249,0.32
2618,1048576,163379,115191,70.51
2619,1048576,268679,32350,12.04
2620,1048576,198537,92232,46.46
2621,666200,601888,73277,12.17
2622,1048576,1030077,19173,1.86
2623,1048576,1032084,154961,15.01
2624,1048576,68311,7752,11.35
2625,1048576,845017,845017,100.0
2626,1048576,833071,86322,10.36
2627,1047915,546226,101463,18.58
2628,1048576,358278,39718,11.09
2629,1048576,144632,90180,62.35
2630,1048576,629095,629095,100.0
2631,1048576,715372,101974,14.25
2632,1048576,742775,247698,33.35
2633,1048576,384932,133498,34.68
2634,1048576,444988,20731,4.66
2635,1048576,861482,70979,8.24
2636,1048576,562826,458825,81.52
2637,1048576,1048090,28173,2.69
2638,1048576,635552,635552,100.0
2639,1048576,635505,635505,100.0
2640,1048576,505966,408105,80.66
2641,873706,873211,708,0.08
2642,1048576,348255,348255,100.0
2643,1048576,842829,684484,81.21
2644,1048576,691710,162645,23.51
2645,1048576,955659,383229,40.1
2646,1048576,868271,99564,11.47
2647,1048576,362934,362934,100.0
2648,1048576,175384,61699,35.18
2649,1048576,883639,129122,14.61
2650,1048576,1026545,232060,22.61
2651,1048576,876232,87147,9.95
2652,1048576,821117,155514,18.94
2653,1048576,444666,444666,100.0
2654,1048576,627590,203096,32.36
2655,1048576,30541,5569,18.23
2656,1048576,1046087,70238,6.71
2657,1048576,1005006,404689,40.27
2658,1048576,700245,546449,78.04
2659,1048576,560267,529777,94.56
2660,1048576,967735,967735,100.0
2661,1048576,459714,63103,13.73
2662,1048576,588433,32839,5.58
2663,1048576,543472,101059,18.6
2664,1048576,104205,52392,50.28
2665,1048576,459096,210188,45.78
2666,1048576,1004254,164267,16.36
2667,1048576,210278,210278,100.0
2668,1048576,864518,786878,91.02
2669,1048576,98133,36939,37.64
2670,1048576,103749,103749,100.0
2671,1048576,568712,568712,100.0
2672,1048576,259419,32477,12.52
2673,1048576,505519,171611,33.95
2674,1048576,264041,63790,24.16
2675,960326,868025,163818,18.87
2676,1048576,532964,512594,96.18
2677,1048576,492922,492922,100.0
2678,1048576,93301,3170,3.4
2679,1048576,1028245,3914,0.38
2680,1048576,449448,57014,12.69
2681,1048576,652058,436643,66.96
2682,842676,842676,5689,0.68
2683,1048576,944946,12968,1.37
2684,1048576,180874,48579,26.86
2685,1048576,875750,669709,76.47
2686,899487,623032,13838,2.22
2687,1048576,139326,30362,21.79
2688,1048576,934048,88476,9.47
2689,1048576,812974,812974,100.0
2690,930910,809101,232638,28.75
2691,991257,966685,30289,3.13
2692,1048576,195808,22078,11.28
2693,1048576,162166,136030,83.88
2694,1048576,258579,258579,100.0
2695,1048576,713136,675991,94.79
2696,1048576,868616,186028,21.42
2697,1048576,955696,200979,21.03
2698,1048576,860508,191910,22.3
2699,1048576,352072,29190,8.29
2700,1048576,564734,372164,65.9
2701,1048576,879155,59291,6.74
2702,1048576,497263,485540,97.64
2703,1048576,173964,173903,99.96
2704,1048576,435873,234306,53.76
2705,1048576,206225,138386,67.1
2706,1048576,578165,538760,93.18
2707,1048576,1026770,1026770,100.0
2708,1048576,580225,175836,30.3
2709,1048576,865679,219732,25.38
2710,1048576,777603,126848,16.31
2711,1048576,265045,189537,71.51
2712,1048576,1029622,141423,13.74
2713,1048576,172583,144268,83.59
2714,1048576,669434,555947,83.05
2715,1048576,888965,160519,18.06
2716,1048576,335179,335179,100.0
2717,1048576,376773,185922,49.35
2718,1048576,965017,165174,17.12
2719,1048576,541585,85956,15.87
2720,1048576,1048558,5352,0.51
2721,1048576,992794,139165,14.02
2722,1048576,676374,623937,92.25
2723,1048576,626140,22643,3.62
2724,1048576,127905,33590,26.26
2725,1048576,27270,27270,100.0
2726,1048576,916268,916268,100.0
2727,1048576,968469,215755,22.28
2728,1048576,679112,355551,52.36
2729,1048576,585580,531858,90.83
2730,1048576,367201,72939,19.86
2731,1048576,194066,16131,8.31
2732,1048576,475963,443816,93.25
2733,1048576,144363,26797,18.56
2734,1048576,313717,239528,76.35
2735,1048576,373275,188507,50.5
