true\pred,background,building,road,water,barren,forest,agricultural
background,427082847,26330013,20139966,9790601,14497193,26284112,91125950
building,22987367,96516814,274624,137783,510900,1642093,736210
road,18432732,297698,56119556,13183,1308582,2627343,791406
water,64309668,81930,725920,109146117,4148715,1823196,19332270
barren,18578671,166261,652407,678790,40095152,647602,13564250
forest,43462196,120315,655355,232472,1195975,56183508,23765826
agricultural,155414274,1472526,2139670,1897633,16105731,7859015,302193853
