image,valid_px,real_px,discarded_px,discard_pct_of_real
2689,1048576,812974,812974,100.0
2690,930910,809101,12754,1.58
2691,991257,966685,0,0.0
2692,1048576,195808,780,0.4
2693,1048576,162166,30172,18.61
2694,1048576,258579,242368,93.73
2695,1048576,713136,674497,94.58
2696,1048576,868616,2019,0.23
2697,1048576,955696,21116,2.21
2698,1048576,860508,10569,1.23
2699,1048576,352072,912,0.26
2700,1048576,564734,335926,59.48
2701,1048576,879155,3117,0.35
2702,1048576,497263,300960,60.52
2703,1048576,173964,175,0.1
2704,1048576,435873,228,0.05
2705,1048576,206225,383,0.19
2706,1048576,578165,4155,0.72
2707,1048576,1026770,999198,97.31
2708,1048576,580225,1495,0.26
2709,1048576,865679,35614,4.11
2710,1048576,777603,7163,0.92
2711,1048576,265045,189,0.07
2712,1048576,1029622,390,0.04
2713,1048576,172583,143745,83.29
2714,1048576,669434,18285,2.73
2715,1048576,888965,41312,4.65
2716,1048576,335179,232028,69.23
2717,1048576,376773,14,0.0
2718,1048576,965017,75947,7.87
2719,1048576,541585,15674,2.89
2720,1048576,1048558,0,0.0
2721,1048576,992794,0,0.0
2722,1048576,676374,1850,0.27
2723,1048576,626140,0,0.0
2724,1048576,127905,20,0.02
2725,1048576,27270,26576,97.46
2726,1048576,916268,817567,89.23
2727,1048576,968469,812,0.08
2728,1048576,679112,9064,1.33
2729,1048576,585580,531112,90.7
2730,1048576,367201,908,0.25
2731,1048576,194066,0,0.0
2732,1048576,475963,141,0.03
2733,1048576,144363,574,0.4
2734,1048576,313717,235867,75.18
2735,1048576,373275,264,0.07
2736,1048576,366599,0,0.0
2737,1048576,347369,0,0.0
2738,1048576,525067,0,0.0
2739,1048576,378782,128,0.03
2740,1048576,108960,5,0.0
2741,1048576,850369,849072,99.85
2742,1048576,823023,0,0.0
2743,1048576,810725,6237,0.77
2744,870113,676629,203,0.03
2745,1048576,303662,1282,0.42
2746,1048576,65877,3304,5.02
2747,1048576,943075,942569,99.95
2748,1048576,418585,711,0.17
2749,1048576,817068,728234,89.13
2750,1048576,946208,535054,56.55
2751,1048576,763405,1535,0.2
2752,1048576,916226,916226,100.0
2753,1048576,292339,336,0.11
2754,1048576,863330,15211,1.76
2755,1048576,1012161,0,0.0
2756,1048576,107213,0,0.0
2757,1048576,686744,81586,11.88
2758,1048576,232467,1193,0.51
2759,1048576,133680,103,0.08
2760,1048576,934927,33915,3.63
2761,1048576,1017359,1017359,100.0
2762,1048576,618474,577788,93.42
2763,1048576,990875,0,0.0
2764,1048576,981303,0,0.0
2765,1048576,822283,358,0.04
2766,1048576,1043596,0,0.0
2767,1048576,853613,5686,0.67
2768,1048576,774655,34017,4.39
2769,1048576,984660,0,0.0
2770,1019147,702815,69955,9.95
2771,1048576,889385,16905,1.9
2772,1048576,591239,573950,97.08
2773,1048576,125200,8,0.01
2774,1048576,350108,10,0.0
2775,1048576,734131,151,0.02
2776,1048576,665347,0,0.0
2777,1048576,278616,244325,87.69
2778,1048576,608316,32,0.01
